Hyphen	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
LRRC3C	0	0	0	0	0	0
LRRC4	62	51	41	60	67	26
LRRC40	3032	2332	3328	3644	2746	2010
LRRC41	1251	1270	972	1811	1485	1269
LRRC42	926	1026	898	961	892	918
LRRC43	0	1	3	0	2	6
LRRC45	11	4	8	13	8	11
LRRC46	23	27	23	26	25	20
LRRC47	549	559	477	618	562	453
LRRC49	486	479	489	409	349	340
LRRC4B	1	2	6	4	6	2
LRRC4C	112	129	144	199	220	237
LRRC52	6	3	2	0	4	0
LRRC53	0	0	0	0	3	0
LRRC55	30	34	24	32	46	37
LRRC56	0	0	0	0	0	0
LRRC57	835	969	795	1293	1213	945
LRRC58	1440	907	1103	1571	1009	834
LRRC59	4012	4485	3660	4365	4336	3395
LRRC6	91	112	82	144	105	98
LRRC61	167	194	164	168	131	140
LRRC63	49	95	84	43	65	44
LRRC66	7	4	7	1	5	8
LRRC69	62	73	78	67	67	72
LRRC7	71	87	53	60	75	63
LRRC70	5	4	6	8	15	7
LRRC71	6	3	4	3	6	4
LRRC72	0	0	0	0	0	0
LRRC73	2	2	2	2	7	3
LRRC74A	0	0	0	0	0	0
LRRC74B	2	0	1	0	0	0
LRRC75A	41	24	36	30	49	31
LRRC75B	32	26	31	32	36	23
LRRC8A	1294	1382	984	1248	2020	1092
LRRC8B	272	203	321	326	265	213
LRRC8C	64	44	61	65	64	49
LRRC8D	887	699	616	711	604	471
LRRC8E	2	2	0	3	3	0
LRRC9	102	84	82	110	62	62
LRRCC1	849	635	774	884	514	513
LRRD1	1	0	2	4	1	3
LRRFIP1	1827	1481	1551	1387	1254	1363
